TrxRowID,MeterNo,PaidDate,Amount
2427952,11612123,8/30/2023,64000.0000
2427965,70400339,8/30/2023,30000.0000
2427970,11711289,8/30/2023,153000.0000
2427974,11673240,8/30/2023,105000.0000
2427975,10812758,8/30/2023,155000.0000
2427976,10616984,8/30/2023,131000.0000
2427977,21306664,8/30/2023,70200.0000
2427978,21306665,8/30/2023,99500.0000
2427980,21306666,8/30/2023,55500.0000
2427981,2112742,8/30/2023,895000.0000
2427982,21306667,8/30/2023,45700.0000
2427946,21178229,8/30/2023,80000.0000
2427944,11610063,8/30/2023,100000.0000
2427941,2134101,8/30/2023,500000.0000
2427939,2124959,8/30/2023,1500000.0000
2427938,2182710,8/30/2023,10000.0000
2427935,4388825,8/30/2023,20000.0000
2427932,10823070,8/30/2023,50000.0000
2427931,4120825,8/30/2023,19000.0000
2427930,2171639,8/30/2023,16500.0000
2427929,33100284,8/30/2023,35000.0000
2427928,2189133,8/30/2023,140000.0000
2427926,21376598,8/30/2023,40000.0000
2427923,21132654,8/30/2023,140000.0000
2427920,21132925,8/30/2023,110000.0000
2427917,11611751,8/30/2023,80000.0000
2427916,21263968,8/30/2023,50000.0000
2427915,2135069,8/30/2023,40000.0000
2427913,70400073,8/30/2023,50000.0000
2427908,33102441,8/30/2023,15000.0000
2427907,4270378,8/30/2023,40000.0000
2427906,68502766,8/30/2023,132500.0000
2427905,11614662,8/30/2023,100000.0000
2427903,10824922,8/30/2023,45000.0000
2427899,63500450,8/30/2023,50000.0000
2427898,21234785,8/30/2023,50000.0000
2427894,21136411,8/30/2023,60000.0000
2427891,16916324,8/30/2023,10000.0000
2427884,11222742,8/30/2023,26500.0000
2427883,21151414,8/30/2023,150000.0000
2427882,21103396,8/30/2023,50000.0000
2427880,63501356,8/30/2023,50000.0000
2427871,4145283,8/30/2023,80000.0000
2427870,2172131,8/30/2023,30000.0000
2427869,21197209,8/30/2023,290000.0000
2427868,10828133,8/30/2023,46000.0000
2427867,21348306,8/30/2023,30000.0000
2427865,10710562,8/30/2023,70000.0000
2427864,RC1833419,8/30/2023,800.0000
2427863,4119051,8/30/2023,30000.0000
2427860,21171327,8/30/2023,500000.0000
2427855,2144254,8/30/2023,75000.0000
2427849,21152582,8/30/2023,20000.0000
2427848,33106502,8/30/2023,10000.0000
2427846,MR1820043,8/30/2023,101000.0000
2427844,11613517,8/30/2023,100000.0000
2427842,4150313,8/30/2023,100000.0000
